Nome_Unidade,UF_Unidade
GRUPAMENTO DE APOIO DE PIRASSUNUNGA,SP
PARQUE DE MATERIAL BELICO DA AERONAUTICA,RJ
DEPARTAMENTO DE CONTROLE DO ESPACO AEREO,RJ
III COMANDO AÉREO REGIONAL,RJ
GRUPAMENTO DE APOIO DE RECIFE,PE
PREFEITURA DE AERONAUTICA DO GALEAO,RJ
GRUPAMENTO DE APOIO DE SAO PAULO,SP
BASE AÉREA DE SALVADOR,BA
GRUPAMENTO DE APOIO DO RIO DE JANEIRO,RJ
BASE AÉREA DE FORTALEZA,CE
SEÇÃO DE RECURSOS HUMANOS,RJ
DIRETORIA DE PLAN. ORC.E ADMINISTRAÇÃO,DF
COORDENACAO DE RECURSOS HUMANOS,RJ
CGPA,RJ
SEC EST PLANEJ COOR GERAL E ADM.,RO
PRÓ-REITORIA DE GEST E DESEN DE PESSOAS,TO
DIRETORIA DE GESTAO DE PESSOAS,AC
HOSP FED DOS SERVIDORES DO ESTADO (UPAG),RJ
COORDENACAO DE ADMINISTRACAO DE PESSOAL,MT
UNIDADE PAGADORA/GO,GO
UNIDADE PAGADORA/PE,PE
UNIDADE PAGADORA/MT,MT
UNIDADE PAGADORA/MS,MS
UNIDADE PAGADORA/SC,SC
HOSPITAL FEDERAL DE IPANEMA (UPAG),RJ
INST NAC DE TRAUMATOLOGIA E ORTOP.(UPAG),RJ
UNIDADE PAGADORA/AP,AP
DIRETORIA DE RECURSOS HUMANOS,RJ
HOSPITAL FEDERAL DO ANDARAI (UPAG),RJ
UNIDADE PAGADORA/RR,RR
PRO REITORIA DE GESTAO DE PESSOAS,MS
HOSPITAL FEDERAL DA LAGOA (UPAG),RJ
HOSPITAL FEDERAL CARDOSO FONTES (UPAG),RJ
HOSPITAL FEDERAL DE BONSUCESSO (UPAG),RJ
PROGEP DIRETORIA DE GESTAO DE PESSOAS,ES
PRO-REITORIA DE RECURSOS HUMANOS,RS
UNIDADE PAGADORA/AL,AL
UNIDADE PAGADORA/PB,PB
INSTITUTO NACIONAL DE CARDIOLOGIA (UPAG),RJ
CENTRO NACIONAL DE PRIMATAS (UPAG),PA
UNIDADE PAGADORA/AM,AM
REITORIA,AC
INSTITUTO EVANDRO CHAGAS (UPAG),PA
UNIDADE PAGADORA/BA,BA
UNIDADE PAGADORA/AC,AC
UNIDADE PAGADORA/PA,PA
UNIDADE PAGADORA/MA,MA
UNIDADE PAGADORA/SP,SP
UNIDADE PAGADORA/RN,RN
DIRETORIA FINANCEIRA DE PESSOAS,GO
UNIDADE PAGADORA/RO,RO
PRH/PRO-REITORIA DE RECURSOS HUMANOS,MA
UNIDADE PAGADORA/CE,CE
UNIDADE PAGADORA/PR,PR
UNIDADE PAGADORA/MG,MG
DIVISAO DE GESTAO DE PESSOAS - HUJM,MT
UNIDADE PAGADORA/PI,PI
INSTITUTO NACIONAL DO CANCER (UPAG),RJ
UNIDADE PAGADORA/RS,RS
UNIDADE PAGADORA/SE,SE
UNIDADE PAGADORA/ES,ES
UNIDADE PAGADORA/RJ,RJ
COORDENACAO DE GESTAO DE PESSOAS,PE
COORDENAÇAO-GERAL DE GESTAO DE PESSOAS,DF
COORDENACAO-GERAL DE RECURSOS HUMANOS,RJ
DIRETORIA DE GESTAO,RJ
PRESIDENCIA,RJ
COORD.GERAL DE GESTAO DE PESSOAS - DIRAD,DF
CENTRO DE PESDQUISA RENE RACHOU,MG
CENTRO DE PESQUISA AGGEU MAGALHAES,PE
CENTRO DE PESQUISA GONCALO MONIZ,BA
SUPERINTENDENCIA ESTADUAL-RJ,RJ
SUPERINTENDENCIA ESTADUAL-AC,AC
SUPERINTENDENCIA ESTADUAL-PR,PR
SUPERINTENDENCIA ESTADUAL-AP,AP
SUPERINTENDENCIA ESTADUAL-PE,PE
SUPERINTENDENCIA ESTADUAL-ES,ES
SUPERINTENDENCIA ESTADUAL-MG,MG
SUPERINTENDENCIA ESTADUAL-RN,RN
SUPERINTENDENCIA ESTADUAL-SP,SP
SUPERINTENDENCIA ESTADUAL-TO,TO
SUPERINTENDENCIA ESTADUAL-MT,MT
SUPERINTENDENCIA ESTADUAL-SC,SC
SUPERINTENDENCIA ESTADUAL-AM,AM
SUPERINTENDENCIA ESTADUAL-RS,RS
SUPERINTENDENCIA ESTADUAL-BA,BA
SUPERINTENDENCIA ESTADUAL-CE,CE
SUPERINTENDENCIA ESTADUAL-PB,PB
SUPERINTENDENCIA ESTADUAL-MA,MA
SUPERINTENDENCIA ESTADUAL-RO,RO
SUPERINTENDENCIA ESTADUAL-PA,PA
SUPERINTENDENCIA ESTADUAL-SE,SE
SUPERINTENDENCIA ESTADUAL-AL,AL
SECRETARIA DE GESTAO DE PESSOAS,DF
COORD GERAL DE GESTÃO DE PESSOAS,DF
Coordenacao de Legis. e Adm. de Pessoal,AM
PROGEP-DCPS,PB
COORDENACAO DE RECURSOS HUMANOS,SP
DAP-DEPARTAMENTO ADMINISTRACAO PESSOAL,MG
SERVICO DE GESTAO DE PESSOAS-RS,RS
SERVICO DE GESTAO DE PESSOAS-BA,BA
SERVICO DE GESTAO DE PESSOAS-MA,MA
SERVICO DE GESTAO DE PESSOAS-MT,MT
SERVICO DE GESTAO DE PESSOAS-CE,CE
SERVICO DE GESTAO DE PESSOAS-SE,SE
SERVICO DE GESTAO DE PESSOAS-ES,ES
SERVICO DE GESTAO DE PESSOAS-SC,SC
SERVICO DE GESTAO DE PESSOAS-PE,PE
SERVICO DE GESTAO DE PESSOAS-AHIPAR,MS
SERVICO DE GESTAO DE PESSOAS-AL,AL
SERVICO DE GESTAO DE PESSOAS-AHSUL,RS
SERVICO DE GESTAO DE PESSOAS-RN,RN
SERVICO DE GESTAO DE PESSOAS-PA,PA
SERVICO DE GESTAO DE PESSOAS-AM,AM
Divisao Financeira / ESG,RJ
DIRET.DE SISTEMAS DE ARMAS DA MARINHA,RJ
DIR DE ADMINISTRACAO E FINANCAS,DF
GERENCIA DE CONTROLE E PAGAMENTOS,DF
GERENCIA DE RECURSOS HUMANOS,DF
SUPGP/GPATE/GPRJO,RJ
SUPGP/GPATE/GPRCE,PE
DIVISAO DE ADMINISTRACAO,AC
SERVICO DE RECURSOS HUMANOS-MAST,RJ
PRO-REITORIA DE GESTAO DE PESSOAS,RS
SERV.DE GESTAO DE RECURSOS HUMANOS-CETEM,RJ
SERV.DE GESTAO E DESENV. DE PESSOAS-LNCC,RJ
CENTRO DE TEC. DA INFO.RENATO ARCHER-CTI,SP
SERVICO DE GESTAO DE PESSOAS-CBPF,RJ
COORDENACAO DE ADMINISTRACAO -INPA,AM
LABORATORIO NACIONAL DE ASTROFISICA-LNA,MG
SERVIÇO DE GESTÃO DE PESSOAS/MPEG,PA
PRO REITORIA DE DES E GESTAO DE PESSOAL,PA
INSTITUTO NACIONAL DE TECNOLOGIA-INT,RJ
CENTRO NAC. DE MONIT.ALERT.DES. NATURAIS,SP
SERVICO DE RECURSOS HUMANOS-ON,RJ
SERV GESTÃO REG. CONTROLE PGTO PESSOAL,SP
SERVIÇO DE RECURSOS HUMANOS,MG
DIRETORIA DE GESTAO DE PESSOAS - PROGEPE,PE
SEÇÃO DE PESSOAL,RJ
SERVIÇO DE GESTAO DE PESSOAS,PE
SERVICO DE ADMIN DE RECURSOS HUMANOS,RJ
DIVISAO DE ADMINISTRACAO DE PESSOAL,DF
Coordenadoria de Gestao de Pessoas,MG
PROGEPE-DEPARTAMENTO DE ADM DE PESSOAL,PR
DIVISAO DE ADMINISTRACAO,AM
DIVISAO DE ADMINISTRACAO,PA
DIVISAO DE ADMINISTRACAO,SP
DIVISAO DE ADMINISTRACAO,RS
DIVISAO DE ADMINISTRACAO,AP
DIVISAO DE ADMINISTRACAO,PB
DIVISAO DE ADMINISTRACAO,TO
DIVISAO DE ADMINISTRACAO,PI
DIVISAO DE ADMINISTRACAO,BA
DIVISAO DE ADMINISTRACAO,GO
SUPERINTENDENCIA REGIONAL/GO,DF
DIVISAO DE ADMINISTRACAO,PE
DIVISAO DE ADMINISTRACAO,MS
DIVISAO DE ADMINISTRACAO,AL
DIVISAO DE ADMINISTRACAO,RO
DIVISAO DE ADMINISTRACAO,DF
DIVISAO DE ADMINISTRACAO,ES
DIVISAO DE ADMINISTRACAO,MT
DIVISAO DE ADMINISTRACAO,SC
DIVISAO DE ADMINISTRACAO,MA
DIVISAO DE ADMINISTRACAO,MG
DIVISAO DE ADMINISTRACAO,RJ
DIVISAO DE ADMINISTRACAO,RN
DIVISAO DE ADMINISTRACAO,CE
DIVISÃO DE GESTÃO DE PESSOAS,CE
COORDENADORIA ESTADUAL NO PIAUI,PI
COORDENADORIA ESTADUAL EM PERNAMBUCO,PE
COORDENADORIA ESTADUAL EM ALAGOAS,AL
COORDENADORIA ESTADUAL EM MINAS GERAIS,MG
COORDENADORIA ESTADUAL NA BAHIA,BA
COORDENADORIA ESTADUAL NO RIO G.DO NORTE,RN
